,Id,MSSubClass,LotFrontage,LotArea,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,TotalBsmtSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,GarageArea
0,1461,20.0,80,11622,4,12,0,2,5,6,1961,1,882.0,896,2,5,730.0
1,1462,20.0,60,14267,0,12,0,2,6,6,1958,3,1329.0,1329,3,6,312.0
2,1463,60.0,74,13830,4,8,0,4,6,5,1997,1,928.0,1629,3,6,482.0
3,1464,60.0,78,9978,4,8,0,1,6,6,1998,1,926.0,1604,3,7,470.0
4,1465,120.0,43,5005,4,22,4,2,8,5,1992,1,1280.0,1280,2,5,506.0
5,1466,60.0,75,10000,0,8,0,4,6,5,1993,1,763.0,1655,3,7,440.0
6,1467,20.0,60,7980,4,8,0,2,6,7,1992,1,1168.0,1187,3,6,420.0
7,1468,60.0,63,8402,4,8,0,4,6,5,1998,1,789.0,1465,3,7,393.0
8,1469,20.0,85,10176,4,8,0,2,7,5,1990,1,1300.0,1341,2,5,506.0
9,1470,20.0,70,8400,0,12,0,2,4,5,1970,1,882.0,882,2,4,525.0
10,1471,120.0,26,5858,2,12,4,2,7,5,1999,1,1405.0,1337,2,5,511.0
11,1472,160.0,21,1680,4,2,3,4,6,5,1971,1,483.0,987,2,5,264.0
12,1472,160.0,21,1680,4,2,3,4,5,5,1971,1,525.0,1092,3,6,320.0
13,1474,160.0,24,2280,2,13,3,4,6,6,1975,1,855.0,1456,3,6,440.0
14,1475,120.0,24,2280,2,13,3,2,7,6,1975,1,836.0,836,2,4,308.0
15,1476,60.0,102,12858,4,16,0,4,9,5,2009,1,1590.0,2334,3,10,751.0
16,1477,20.0,94,12883,0,16,0,2,8,5,2009,1,1544.0,1544,3,7,868.0
17,1478,20.0,90,11520,4,16,0,2,9,5,2005,3,1698.0,1698,3,7,730.0
18,1479,20.0,79,14122,4,16,0,2,8,5,2005,3,1822.0,1822,3,8,678.0
19,1480,20.0,110,14300,4,16,0,2,9,5,2030,3,2846.0,2696,3,10,958.0
20,1481,60.0,105,13650,0,16,0,4,6,5,2002,1,1671.0,2250,3,7,756.0
21,1482,120.0,41,7132,4,16,4,2,8,5,2006,1,1370.0,1370,2,6,484.0
22,1483,20.0,100,18494,0,8,0,2,6,5,2005,1,1324.0,1324,3,6,430.0
23,1484,120.0,43,3203,4,0,4,2,7,5,2006,1,1145.0,1145,2,6,437.0
24,1485,80.0,67,13300,4,8,0,6,6,5,2004,1,384.0,1374,3,7,400.0
25,1486,60.0,63,8577,4,8,0,4,7,5,2004,1,847.0,1733,3,7,433.0
26,1487,60.0,60,17433,1,15,0,4,8,5,1998,3,1629.0,2475,4,7,962.0
27,1488,20.0,73,8987,4,21,0,2,8,5,2005,1,1595.0,1595,2,6,880.0
28,1489,20.0,92,9215,4,21,0,2,7,5,2009,3,1218.0,1218,2,4,676.0
29,1490,20.0,84,10440,0,21,0,2,6,5,2005,1,1468.0,1468,2,6,528.0
30,1491,20.0,70,11920,4,20,0,4,7,5,2004,1,831.0,1659,3,8,484.0
31,1492,30.0,70,9800,0,20,0,2,5,5,2120,1,816.0,1012,2,5,429.0
32,1493,20.0,39,15410,1,19,0,2,6,6,1974,3,1208.0,1494,3,7,461.0
33,1494,60.0,85,13143,4,15,0,4,8,5,1993,1,1231.0,2349,3,9,762.0
34,1495,60.0,88,11134,4,15,0,4,8,5,1992,1,1390.0,2225,4,7,713.0
35,1496,120.0,25,4835,1,21,4,1,7,5,2004,1,1488.0,1488,2,6,506.0
